,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
0,1,Barry Sanders,DET,RB,23,15,15,0,0,0,0,0,342,1548,4.53,16,41,307,7.49,1,5.0,0.0,17,,,283.0,323.5,332.0,303.0,169.0,1,1.0
1,2,Thurman Thomas,BUF,RB,25,15,15,0,0,0,0,0,288,1407,4.89,7,62,631,10.18,5,5.0,,12,,,271.0,332.8,341.3,301.8,157.0,2,2.0
2,3,Emmitt Smith,DAL,RB,22,16,16,0,0,0,0,0,365,1563,4.28,12,49,258,5.27,1,8.0,,13,,,252.0,301.1,311.1,276.6,138.0,3,3.0
3,4,Jim Kelly,BUF,QB,31,15,15,304,474,3844,33,17,20,45,2.25,1,0,0,,0,6.0,,1,,,256.0,256.3,279.3,273.3,105.0,1,4.0
4,5,Jerry Rice,SFO,WR,29,16,16,0,0,0,0,0,1,2,2.0,0,80,1206,15.08,14,1.0,,14,,,204.0,283.8,287.3,243.8,102.0,1,5.0
5,6,Rod Bernstine,SDG,TE,26,13,8,1,1,11,1,0,159,766,4.82,8,11,124,11.27,0,1.0,,8,,,140.0,151.4,157.9,145.9,96.0,1,6.0
6,7,Michael Irvin,DAL,WR,25,16,16,0,0,0,0,0,0,0,,0,93,1523,16.38,8,3.0,,8,,,197.0,290.3,294.8,243.8,95.0,2,7.0
7,8,Warren Moon,HOU,QB,35,16,16,404,655,4690,23,21,33,68,2.06,2,0,0,,0,11.0,,2,,,245.0,245.4,274.9,266.4,94.0,2,8.0
8,9,Gary Clark,WAS,WR,29,16,16,0,0,0,0,0,1,0,0.0,0,70,1340,19.14,10,0.0,,10,,,194.0,264.0,267.0,229.0,92.0,3,9.0
9,10,Dan Marino,MIA,QB,30,16,16,318,549,3970,25,13,27,32,1.19,1,0,0,,0,6.0,,1,,,236.0,236.0,255.0,249.0,85.0,3,10.0
10,11,Andre Reed,BUF,WR,27,16,16,0,0,0,0,0,12,136,11.33,0,81,1113,13.74,10,1.0,,10,,,184.0,264.9,271.4,224.4,82.0,4,11.0
11,12,Mark Rypien,WAS,QB,29,16,16,249,421,3564,28,11,15,6,0.4,1,0,0,,0,9.0,,1,,,230.0,230.2,248.7,241.2,79.0,4,12.0
12,13,Michael Haynes,ATL,WR,26,16,16,0,0,0,0,0,0,0,,0,50,1122,22.44,11,0.0,,11,,,178.0,228.2,231.2,203.2,76.0,5,13.0
13,14,Rodney Hampton,NYG,RB,22,14,14,0,0,0,0,0,256,1059,4.14,10,43,283,6.58,0,5.0,,10,,,189.0,232.2,240.7,210.7,75.0,4,14.0
14,15,Mark Clayton,MIA,WR,30,16,16,0,0,0,0,0,0,0,,0,70,1053,15.04,12,0.0,,12,,,177.0,247.3,250.3,212.3,75.0,6,15.0
15,16,Robert Delpino,RAM,RB,26,16,15,0,0,0,0,0,214,688,3.21,9,55,617,11.22,1,3.0,,10,,,188.0,242.5,250.0,215.0,74.0,5,16.0
16,17,Andre Rison,ATL,WR,24,16,15,0,0,0,0,0,1,-9,-9.0,0,81,976,12.05,12,1.0,,12,,,168.0,248.7,252.2,208.2,65.0,7,17.0
17,18,Steve Young,SFO,QB,30,11,10,180,279,2517,17,8,66,415,6.29,4,0,0,,0,3.0,,4,,,215.0,215.2,230.7,223.2,64.0,5,18.0
18,19,John Elway,DEN,QB,31,16,16,242,451,3253,13,12,55,255,4.64,6,1,24,24.0,0,12.0,,6,,,210.0,211.0,235.0,222.5,59.0,6,19.0
19,20,Chris Miller,ATL,QB,26,15,14,220,413,3103,26,18,32,229,7.16,0,0,0,,0,5.0,,0,,,210.0,210.0,236.5,228.0,59.0,7,20.0
20,21,Haywood Jeffires,HOU,WR,27,16,16,0,0,0,0,0,0,0,,0,100,1181,11.81,7,3.0,,7,,,157.0,257.1,261.6,207.1,55.0,8,21.0
21,22,Earnest Byner,WAS,RB,29,16,16,1,4,18,1,0,274,1048,3.82,5,34,308,9.06,0,3.0,,5,,,167.0,201.3,208.8,184.3,53.0,6,22.0
22,23,Marv Cook,NWE,TE,25,16,16,0,0,0,0,0,0,0,,0,82,808,9.85,3,2.0,,3,,,97.0,178.8,182.8,137.8,53.0,2,23.0
23,24,John Taylor,SFO,WR,29,16,16,0,0,0,0,0,0,0,,0,64,1011,15.8,9,1.0,,9,,,154.0,218.1,221.6,186.1,52.0,9,24.0
24,25,James Lofton,BUF,WR,35,15,15,0,0,0,0,0,0,0,,0,57,1072,18.81,8,2.0,,8,,,153.0,210.2,214.2,181.7,51.0,10,25.0
25,26,Art Monk,WAS,WR,34,16,16,0,0,0,0,0,9,19,2.11,0,71,1049,14.77,8,2.0,,8,,,153.0,223.8,227.8,188.3,51.0,11,26.0
26,27,Ethan Horton,RAI,TE,29,16,16,0,0,0,0,0,0,0,,0,53,650,12.26,5,1.0,,5,,,94.0,147.0,150.5,120.5,50.0,3,27.0
27,28,Eric Green,PIT,TE,24,11,11,0,0,0,0,0,0,0,,0,41,582,14.2,6,2.0,,6,,,92.0,133.2,137.2,112.7,48.0,4,28.0
28,29,Herschel Walker,MIN,RB,29,15,15,0,0,0,0,0,198,825,4.17,10,33,204,6.18,0,2.0,,10,,,161.0,193.9,200.9,177.4,47.0,7,29.0
29,30,Neal Anderson,CHI,RB,27,13,12,0,1,0,0,0,210,747,3.56,6,47,368,7.83,3,5.0,,9,,,161.0,207.5,216.0,184.0,47.0,8,30.0
30,31,Jay Novacek,DAL,TE,29,16,12,0,0,0,0,0,0,0,,0,59,664,11.25,4,3.0,,4,,,87.0,146.4,150.9,116.9,43.0,5,31.0
31,32,Kevin Mack,CLE,RB,29,14,11,0,0,0,0,0,197,726,3.69,8,40,255,6.38,2,1.0,,10,,,157.0,197.1,203.6,177.1,43.0,9,32.0
32,33,Christian Okoye,KAN,RB,30,14,12,0,0,0,0,0,225,1031,4.58,9,3,34,11.33,0,5.0,,9,,,156.0,158.5,164.0,157.0,42.0,10,33.0
33,34,Jim Harbaugh,CHI,QB,28,16,16,275,478,3121,15,16,70,338,4.83,2,0,0,,0,6.0,,2,,,193.0,192.6,217.6,208.6,42.0,8,34.0
34,35,Keith Jackson,PHI,TE,26,16,16,0,0,0,0,0,0,0,,0,48,569,11.85,5,2.0,,5,,,85.0,132.9,136.9,108.9,41.0,6,35.0
35,36,Bernie Kosar,CLE,QB,28,16,16,307,494,3487,18,9,26,74,2.85,0,1,1,1.0,0,10.0,,0,,,191.0,192.0,209.0,200.5,40.0,9,36.0
36,37,Allen Pinkett,HOU,RB,27,16,16,0,0,0,0,0,171,720,4.21,9,29,228,7.86,1,2.0,,10,,,153.0,181.8,188.8,167.3,39.0,11,37.0
37,38,John Williams,SEA,RB,27,16,16,0,0,0,0,0,188,741,3.94,4,61,499,8.18,1,2.0,,5,,,152.0,213.0,220.0,182.5,38.0,12,38.0
38,39,Floyd Turner,NOR,WR,25,16,4,0,0,0,0,0,0,0,,0,64,927,14.48,8,1.0,,8,,,140.0,203.7,207.2,171.7,37.0,12,39.0
39,40,Mark Duper,MIA,WR,32,16,16,0,0,0,0,0,0,0,,0,70,1085,15.5,5,0.0,,5,,,139.0,208.5,211.5,173.5,36.0,13,40.0
40,41,Drew Hill,HOU,WR,35,16,16,0,0,0,0,0,1,1,1.0,0,90,1109,12.32,4,2.0,,4,,,133.0,223.0,227.0,178.0,31.0,14,41.0
41,42,Steve Jordan,MIN,TE,30,16,16,0,0,0,0,0,0,0,,0,57,638,11.19,2,2.0,,2,,,74.0,130.8,134.8,102.3,30.0,7,42.0
42,43,Wendell Davis,CHI,WR,25,16,16,0,0,0,0,0,0,0,,0,61,945,15.49,6,0.0,,6,,,131.0,191.5,194.5,161.0,28.0,15,43.0
43,44,Ernest Givins,HOU,WR,27,16,16,0,0,0,0,0,4,30,7.5,0,70,996,14.23,5,3.0,,5,,,130.0,199.6,204.1,164.6,27.0,16,44.0
