,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
0,1,Emmitt Smith,DAL,RB,23,16,16,0,0,0,0,0,373,1713,4.59,18,74.0,59,335,5.68,1,4.0,,19,,,315.0,373.8,381.8,344.3,207.0,1,1.0
1,2,Thurman Thomas,BUF,RB,26,16,16,0,0,0,0,0,312,1487,4.77,9,87.0,58,626,10.79,3,6.0,,12,,,277.0,335.3,344.3,306.3,170.0,2,2.0
2,3,Barry Foster,PIT,RB,24,16,15,0,1,0,0,0,390,1690,4.33,11,50.0,36,344,9.56,0,9.0,,11,,,260.0,296.4,306.9,278.4,153.0,3,3.0
3,4,Terry Allen,MIN,RB,24,16,16,0,0,0,0,0,266,1201,4.52,13,70.0,49,478,9.76,2,9.0,,15,,,249.0,297.9,308.4,273.4,141.0,4,4.0
4,5,Sterling Sharpe,GNB,WR,27,16,16,0,0,0,0,0,4,8,2.0,0,162.0,108,1461,13.53,13,2.0,,13,,,223.0,330.9,334.9,276.9,132.0,1,5.0
5,6,Steve Young,SFO,QB,31,16,16,268,402,3465,25,7,76,537,7.07,4,,0,0,,0,9.0,,4,,,293.0,293.3,310.8,300.3,131.0,1,6.0
6,7,Lorenzo White,HOU,RB,26,16,16,0,0,0,0,0,265,1226,4.63,7,77.0,57,641,11.25,1,2.0,,8,,,233.0,289.7,296.7,261.2,125.0,5,7.0
7,8,Rodney Hampton,NYG,RB,23,16,16,0,0,0,0,0,257,1141,4.44,14,38.0,28,215,7.68,0,1.0,,14,,,219.0,246.6,253.1,232.6,111.0,6,8.0
8,9,Barry Sanders,DET,RB,24,16,16,0,1,0,0,0,312,1352,4.33,9,40.0,29,225,7.76,1,6.0,4.0,10,,,212.0,240.7,249.7,226.2,104.0,7,9.0
9,10,Jerry Rice,SFO,WR,30,16,16,0,0,0,0,0,9,58,6.44,1,139.0,84,1201,14.3,10,2.0,,11,,,190.0,273.9,277.9,231.9,99.0,2,10.0
10,11,Ricky Watters,SFO,RB,23,14,13,0,1,0,0,0,206,1013,4.92,9,52.0,43,405,9.42,2,2.0,,11,,,206.0,248.8,255.8,227.3,98.0,8,11.0
11,12,Michael Irvin,DAL,WR,26,16,14,0,0,0,0,0,1,-9,-9.0,0,122.0,78,1396,17.9,7,1.0,,7,,,180.0,257.7,261.2,218.7,89.0,3,12.0
12,13,Andre Rison,ATL,WR,25,15,13,0,0,0,0,0,0,0,,0,144.0,93,1119,12.03,11,2.0,,11,,,176.0,268.9,272.9,222.4,85.0,4,13.0
13,14,Cleveland Gary,RAM,RB,26,16,16,0,0,0,0,0,279,1125,4.03,7,55.0,52,293,5.63,3,9.0,,10,,,193.0,244.8,255.3,218.8,85.0,9,14.0
14,15,Herschel Walker,PHI,RB,30,16,16,0,1,0,0,0,267,1070,4.01,8,47.0,38,278,7.32,2,6.0,,10,,,189.0,226.8,235.8,207.8,81.0,10,15.0
15,16,Reggie Cobb,TAM,RB,24,16,13,0,0,0,0,0,310,1171,3.78,9,25.0,21,156,7.43,0,3.0,,9,,,184.0,204.7,212.2,194.2,76.0,11,16.0
16,17,Randall Cunningham,PHI,QB,29,15,15,233,384,2775,19,11,87,549,6.31,5,1.0,0,0,,0,13.0,,5,,,237.0,236.9,260.4,247.9,75.0,2,17.0
17,18,Earnest Byner,WAS,RB,30,16,16,1,3,41,1,0,262,998,3.81,6,49.0,39,338,8.67,1,1.0,,7,,,180.0,219.2,225.7,199.7,72.0,12,18.0
18,19,Dan Marino,MIA,QB,31,16,16,330,554,4116,24,16,20,66,3.3,0,,0,0,,0,5.0,,0,,,230.0,230.2,251.7,246.2,68.0,3,19.0
19,20,Anthony Miller,SDG,WR,27,16,16,0,0,0,0,0,1,-1,-1.0,0,137.0,72,1060,14.72,7,0.0,,8,,,154.0,225.9,228.9,189.9,63.0,5,20.0
