rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
1,Jerry Rice,SFO,WR,31,16,16,0,0,0,0,0,3,69,23.0,1,153.0,98,1503,15.34,15,3.0,,16,,,250.0,348.2,352.7,299.2,145.0,1,1.0
2,Emmitt Smith,DAL,RB,24,14,13,0,0,0,0,0,283,1486,5.25,9,65.0,57,414,7.26,1,4.0,,10,,,246.0,303.0,311.0,274.5,135.0,1,2.0
3,Steve Young,SFO,QB,32,16,16,314,462,4023,29,16,69,407,5.9,2,2.0,2,2,1.0,0,8.0,,2,,,290.0,291.8,317.8,306.8,129.0,1,3.0
4,Andre Rison,ATL,WR,26,16,16,0,0,0,0,0,0,0,,0,165.0,86,1242,14.44,15,2.0,,15,,,212.0,298.2,302.2,255.2,107.0,2,4.0
5,Shannon Sharpe,DEN,TE,25,16,12,0,0,0,0,0,0,0,,0,110.0,81,995,12.28,9,1.0,,9,,,153.0,233.5,237.0,193.0,96.0,1,5.0
6,Jerome Bettis,RAM,RB,21,16,12,0,0,0,0,0,294,1429,4.86,7,34.0,26,244,9.38,0,4.0,,7,,,205.0,231.3,239.3,218.3,94.0,2,6.0
7,Thurman Thomas,BUF,RB,27,16,16,0,1,0,0,0,355,1315,3.7,6,71.0,48,387,8.06,0,6.0,,6,,,200.0,248.2,257.2,224.2,89.0,3,7.0
8,Sterling Sharpe,GNB,WR,28,16,16,1,1,1,0,0,4,8,2.0,0,189.0,112,1274,11.38,11,1.0,,11,,,193.0,305.2,308.7,249.2,88.0,3,8.0
9,John Elway,DEN,QB,33,16,16,348,551,4030,25,10,44,153,3.48,0,,0,0,,0,8.0,,0,,,249.0,248.5,268.5,258.5,87.0,2,9.0
10,Ricky Watters,SFO,RB,24,13,13,0,0,0,0,0,208,950,4.57,10,45.0,31,326,10.52,1,5.0,,11,,,189.0,219.6,228.1,204.1,78.0,4,10.0
11,Marcus Allen,KAN,RB,33,16,10,0,0,0,0,0,206,764,3.71,12,46.0,34,238,7.0,3,4.0,,15,,,186.0,220.2,228.2,203.2,75.0,5,11.0
12,Michael Irvin,DAL,WR,27,16,16,0,0,0,0,0,2,6,3.0,0,143.0,88,1330,15.11,7,0.0,,7,,,176.0,263.6,266.6,219.6,71.0,4,12.0
13,Eric Green,PIT,TE,26,16,16,0,0,0,0,0,0,0,,0,113.0,63,942,14.95,5,3.0,,5,,,121.0,184.2,188.7,152.7,65.0,2,13.0
14,Tim Brown,RAI,WR,27,16,16,0,0,0,0,0,2,7,3.5,0,127.0,80,1180,14.75,7,1.0,,8,,,166.0,245.7,249.2,205.7,61.0,5,14.0
15,Leonard Russell,NWE,RB,24,16,15,0,0,0,0,0,300,1088,3.63,7,37.0,26,245,9.42,0,4.0,,7,,,171.0,197.3,205.3,184.3,60.0,6,15.0
16,Ben Coates,NWE,TE,24,16,10,0,0,0,0,0,0,0,,0,93.0,53,659,12.43,8,0.0,,8,,,114.0,166.9,169.9,140.4,58.0,3,16.0
17,Gary Brown,HOU,RB,24,16,8,0,0,0,0,0,195,1002,5.14,6,30.0,21,240,11.43,2,4.0,,8,,,168.0,189.2,197.2,178.7,57.0,7,17.0
18,Cris Carter,MIN,WR,28,16,16,0,0,0,0,0,0,0,,0,143.0,86,1071,12.45,9,0.0,,9,,,161.0,247.1,250.1,204.1,56.0,6,18.0
