player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
David Johnson,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5.0,3,20,1.0,0.0,328.0,407.8,25.0,0.0,0.0,0.0,0.0,0.0,293.0,1239.0,4.23,16.0,120.0,80.0,879.0,10.99,4.0,5.0,3.0,20.0,1.0,0.0,328.0,407.8,2016
Ezekiel Elliott,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5.0,1,16,0.0,0.0,293.0,325.4,21.688706738761535,0.0,0.0,0.0,0.0,0.0,332.56016999434354,1684.489556710479,5.236273484072428,15.491933384829666,40.27902680055713,33.04945788763662,374.90478791287796,11.711901638931229,1.0327955589886444,5.163977794943222,1.0327955589886444,16.52472894381831,0.0,0.0,302.60909878367283,336.0716748949049,2016
Aaron Rodgers,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,0.0,0,8.0,4,4,1.0,1.0,380.0,380.0,33.0,401.0,610.0,4428.0,40.0,7.0,67.0,369.0,5.51,4.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,1.0,1.0,380.0,380.0,2016
LeSean McCoy,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3.0,0,14,1.0,0.0,248.0,298.3,28.918275651682045,0.0,0.0,0.0,0.0,0.0,241.6741608033428,1308.5519732386126,5.5874239741285665,13.426342266852378,58.869346862352735,51.63977794943222,367.67521899995745,7.353504379999149,1.0327955589886444,3.0983866769659336,0.0,14.459137825841022,1.0327955589886444,0.0,256.13329862918386,308.08291524631267,2016
Le'Veon Bell,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4.0,1,9,1.0,0.0,242.0,317.4,27.71281292110204,0.0,1.1547005383792517,0.0,0.0,0.0,301.37684051698466,1464.160282664891,5.611844616523163,8.082903768654761,108.54185060764965,86.60254037844388,711.2955316416189,9.480091420093657,2.3094010767585034,4.618802153517007,1.1547005383792517,10.392304845413264,1.1547005383792517,0.0,279.4375302877789,366.50195088157443,2016
DeMarco Murray,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3.0,1,12,0.0,0.0,241.0,293.8,28.0,1.0,2.0,10.0,1.0,0.0,293.0,1287.0,4.39,9.0,67.0,53.0,377.0,7.11,3.0,3.0,1.0,12.0,0.0,0.0,241.0,293.8,2016
Devonta Freeman,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1.0,1,13,0.0,0.0,230.0,284.1,24.0,0.0,0.0,0.0,0.0,0.0,227.0,1079.0,4.75,11.0,65.0,54.0,462.0,8.56,2.0,1.0,1.0,13.0,0.0,0.0,230.0,284.1,2016
LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2.0,1,18,0.0,0.0,226.0,232.9,30.0,0.0,0.0,0.0,0.0,0.0,299.0,1161.0,3.88,18.0,8.0,7.0,38.0,5.43,0.0,2.0,1.0,18.0,0.0,0.0,226.0,232.9,2016
Matt Ryan,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,0.0,0,4.0,2,0,1.0,1.0,347.0,347.5,31.0,373.0,534.0,4944.0,38.0,7.0,35.0,117.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,347.0,347.5,2016
Mike Evans,TAM,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,173,96,1321,13.76,12,0.0,0,12,2.0,0.0,208.0,304.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,96.0,1321.0,13.76,12.0,0.0,0.0,12.0,2.0,0.0,208.0,304.1,2016
Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,0.0,0,152,97,1257,12.96,14,1.0,1,14,0.0,0.0,208.0,304.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,97.0,1257.0,12.96,14.0,1.0,1.0,14.0,0.0,0.0,208.0,304.7,2016
