player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Jonathan Taylor,IND,RB,22,17,17,0.0,0.0,0.0,0.0,0.0,332.0,1811.0,5.45,18.0,51.0,40.0,360.0,9.0,2.0,4.0,2.0,20,0.0,0.0,333.0,373.1,22.0,0.0,0.0,0.0,0.0,0.0,332.0,1811.0,5.45,18.0,51.0,40.0,360.0,9.0,2.0,4.0,2.0,20.0,0.0,0.0,333.0,373.1
Cooper Kupp,LAR,WR,28,17,17,0.0,1.0,0.0,0.0,0.0,4.0,18.0,4.5,0.0,191.0,145.0,1947.0,13.43,16.0,0.0,0.0,16,1.0,0.0,295.0,439.5,28.0,0.0,1.0,0.0,0.0,0.0,4.0,18.0,4.5,0.0,191.0,145.0,1947.0,13.43,16.0,0.0,0.0,16.0,1.0,0.0,295.0,439.5
Deebo Samuel,SFO,WR,25,16,15,1.0,2.0,24.0,1.0,0.0,59.0,365.0,6.19,8.0,121.0,77.0,1405.0,18.25,6.0,4.0,2.0,14,0.0,0.0,262.0,339.0,25.76941016011038,1.0307764064044151,2.0615528128088303,24.738633753705965,1.0307764064044151,0.0,60.815807977860494,376.23338833761153,6.38050595564333,8.246211251235321,124.72394517493423,79.36978329313996,1448.2408509982033,18.811669416880576,6.184658438426491,4.123105625617661,2.0615528128088303,14.430869689661812,0.0,0.0,270.06341847795676,349.4332017710967
Josh Allen,BUF,QB,25,17,17,409.0,646.0,4407.0,36.0,15.0,122.0,763.0,6.25,6.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,6,2.0,1.0,403.0,402.6,25.0,409.0,646.0,4407.0,36.0,15.0,122.0,763.0,6.25,6.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,6.0,2.0,1.0,403.0,402.6
Austin Ekeler,LAC,RB,26,16,16,0.0,0.0,0.0,0.0,0.0,206.0,911.0,4.42,12.0,94.0,70.0,647.0,9.24,8.0,4.0,3.0,20,2.0,0.0,274.0,343.8,26.800186566514792,0.0,0.0,0.0,0.0,0.0,212.3399397193095,939.0373062344222,4.556031716307515,12.369316876852983,96.89298220201502,72.15434844830907,666.9123349436566,9.524373995176797,8.246211251235321,4.123105625617661,3.0923292192132457,20.615528128088304,2.0615528128088303,0.0,282.4327353548098,354.3809285218379
Justin Herbert,LAC,QB,23,17,17,443.0,672.0,5014.0,38.0,15.0,63.0,302.0,4.79,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,5.0,381.0,380.8,23.0,443.0,672.0,5014.0,38.0,15.0,63.0,302.0,4.79,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,381.0,380.8
Tom Brady,TAM,QB,44,17,17,485.0,719.0,5316.0,43.0,12.0,28.0,81.0,2.89,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2,0.0,0.0,375.0,374.7,44.0,485.0,719.0,5316.0,43.0,12.0,28.0,81.0,2.89,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,375.0,374.7
Mark Andrews,BAL,TE,26,17,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,107.0,1361.0,12.72,9.0,1.0,0.0,9,2.0,0.0,194.0,301.1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,107.0,1361.0,12.72,9.0,1.0,0.0,9.0,2.0,0.0,194.0,301.1
Ja'Marr Chase,CIN,WR,21,17,17,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,128.0,81.0,1455.0,17.96,13.0,2.0,1.0,13,0.0,0.0,224.0,304.6,21.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,128.0,81.0,1455.0,17.96,13.0,2.0,1.0,13.0,0.0,0.0,224.0,304.6
Justin Jefferson,MIN,WR,22,17,17,2.0,4.0,35.0,0.0,0.0,6.0,14.0,2.33,0.0,167.0,108.0,1616.0,14.96,10.0,1.0,1.0,10,0.0,0.0,222.0,330.4,22.0,2.0,4.0,35.0,0.0,0.0,6.0,14.0,2.33,0.0,167.0,108.0,1616.0,14.96,10.0,1.0,1.0,10.0,0.0,0.0,222.0,330.4
Joe Mixon,CIN,RB,25,16,16,0.0,0.0,0.0,0.0,0.0,292.0,1205.0,4.13,13.0,48.0,42.0,314.0,7.48,3.0,2.0,1.0,16,0.0,0.0,246.0,287.9,25.76941016011038,0.0,0.0,0.0,0.0,0.0,300.9867106700892,1242.0855697173204,4.257106558450235,13.400093283257396,49.47726750741193,43.292609068985435,323.6637916109864,7.710207519905026,3.0923292192132457,2.0615528128088303,1.0307764064044151,16.492422502470642,0.0,0.0,253.57099597548614,296.7605274038311
Davante Adams,GNB,WR,29,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,123.0,1553.0,12.63,11.0,0.0,0.0,11,0.0,0.0,221.0,344.3,29.89251578572804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.20121268234615,126.78549798774307,1600.7957591460568,13.018706012887764,11.338540470448567,0.0,0.0,11.338540470448567,0.0,0.0,227.80158581537574,354.89631672504015
Patrick Mahomes,KAN,QB,26,17,17,436.0,658.0,4839.0,37.0,13.0,66.0,381.0,5.77,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2,1.0,1.0,362.0,361.7,26.0,436.0,658.0,4839.0,37.0,13.0,66.0,381.0,5.77,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,1.0,362.0,361.7
Najee Harris,PIT,RB,23,17,17,0.0,0.0,0.0,0.0,0.0,307.0,1200.0,3.91,7.0,94.0,74.0,467.0,6.31,3.0,0.0,0.0,10,0.0,0.0,227.0,300.7,23.0,0.0,0.0,0.0,0.0,0.0,307.0,1200.0,3.91,7.0,94.0,74.0,467.0,6.31,3.0,0.0,0.0,10.0,0.0,0.0,227.0,300.7
Travis Kelce,KAN,TE,32,16,16,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,134.0,92.0,1125.0,12.23,9.0,1.0,1.0,10,0.0,0.0,171.0,262.8,32.984845004941285,0.0,0.0,0.0,0.0,0.0,2.0615528128088303,3.0923292192132457,1.5461646096066228,1.0307764064044151,138.12403845819162,94.83142938920619,1159.623457204967,12.606395450325998,9.276987657639737,1.0307764064044151,1.0307764064044151,10.307764064044152,0.0,0.0,176.26276549515498,270.8880396030803
