Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Marshall Faulk*+,STL,RB,26,16,16,0,1,0,0,0,253,1381,5.46,7,103,87,1048,12.05,5,2,2,12,1,,313,399.9,407.9,356.4,187,1,1
2,Edgerrin James*+,IND,RB,21,16,16,0,0,0,0,0,369,1553,4.21,13,82,62,586,9.45,4,8,4,17,,,308,369.9,379.9,338.9,182,2,2
3,Kurt Warner*+,STL,QB,28,16,16,325,499,4353,41,13,23,92,4.00,1,0,0,0,,0,9,5,1,,1,319,319.3,340.3,332.3,131,1,3
4,Stephen Davis*,WAS,RB,25,14,14,0,0,0,0,0,290,1405,4.84,17,28,23,111,4.83,0,4,1,17,1,,254,276.6,283.6,265.1,128,3,4
5,Eddie George*,TEN,RB,26,16,16,0,0,0,0,0,320,1304,4.08,9,65,47,458,9.74,4,5,4,13,,,246,293.2,303.2,269.7,120,4,5
6,Marvin Harrison*+,IND,WR,27,16,16,0,0,0,0,0,1,4,4.00,0,184,115,1663,14.46,12,2,1,12,1,,239,353.7,357.7,296.2,115,1,6
7,Steve Beuerlein*,CAR,QB,34,16,16,343,571,4436,36,15,27,124,4.59,2,0,0,0,,0,12,8,2,,,300,299.8,328.8,314.8,111,2,7
8,Emmitt Smith*,DAL,RB,30,15,15,0,0,0,0,0,329,1397,4.25,11,32,27,119,4.41,2,5,3,13,,,224,250.6,259.6,237.1,98,5,8
9,Randy Moss*,MIN,WR,22,16,16,1,1,27,1,0,4,43,10.75,0,137,80,1413,17.66,11,3,1,12,,,221,300.7,304.7,260.7,97,2,9
